UNIQUE ID KEY;DEFAULT ENGLISH;TRANSLATION FOREIGN LANGUAGE
pagetitle_detailsave_user_edit;Edit user: [username];Edit user: [username]
form_FIELD_CUSTOMID;Label (used to identify this account just to you);Label (used to identify this account just to you)
form_field_contactid;Contact;Contact
form_field_enabled;able to log in (users in this account);able to log in (users in this account)
form_field_loginexpires;Login expires after (users in account can't log in after this date, empty = no expiration);Login expires after (users in account can't log in after this date, empty = no expiration)
form_field_deleteafter;Auto delete account after (also deleting ALL users in account, empty = no deletion);Auto delete account after (also deleting ALL users in account, empty = no deletion)
section_useraccounts_detail_usersinaccount_title;Users in this account;Users in this account
section_useraccounts_detail_usersinaccount_explanation;[amount] user(s) are part of this account:;[amount] user(s) are part of this account:
pagetitle_detailsave_useraccount_edit;Edit user account: [identifier];Edit user account: [identifier]
overview_column_sCodeName;Name;Name
overview_column_sRedemptionCode;Code;Code
overview_column_iCurrentRedeems;Redeemed;Redeemed
overview_column_dtDateEnd;Expires on;Expires on
overview_column_bIsEnabled;Enabled;Enabled
modulename_title;Invitation codes;Invitation codes
form_field_namecode;name (only you can see it);name (only you can see it)
form_field_invitationcode;Invitation code (allowed: [allowed]);Invitation code (allowed: [allowed])
form_field_currentredeems;Amount of times code is redeemed;Amount of times code is redeemed
form_field_maxredeems;Limit redemptions (0=unlimited);Limit redemptions (0=unlimited)
form_field_invitationcodes_startdatetime;Start date;Start date
form_field_invitationcodes_enddatetime;End date;End date
form_field_invitationcode_isenabled;Enabled;Enabled
pagetitle_detailsave_invitationcodes_new;Create new invitation code;Create new invitation code
overview_column_sCountryName;country;country
modulename_title_permissionscountries;Which countries are permitted to use the system?;Which countries are permitted to use the system?
form_field_country;country;country
pagetitle_detailsave_permissionscountries_edit;Change country;Change country
pagetitle_detailsave_permissionscountries_new;Add new country;Add new country
message_countryalreadyexists;Country NOT SAVED, country already exists;Country NOT SAVED, country already exists
pagetitle_detailsave_user_new;Create new user;Create new user
userdetail_form_field_organisation;Part of organisation;Part of organisation
message_usernamenotunique;User NOT SAVED, choose another username;User NOT SAVED, choose another username
message_user_needstochangepassword;This user needs to change password for security reasons;This user needs to change password for security reasons
form_label_sessions_nosessions;User isn't logged in anywhere;User isn't logged in anywhere
form_label_loginhistory_nosessions;User hasn't any history yet;User hasn't any history yet
menuitem_modulename;Users + permissions;Users + permissions
tabsheets_module_explanation_When Archimedes CMS is deployed as a web-application service (like MailChimp, Shopify, Calendly etc) it can have multiple organizations/companies using Archimedes CMS<br>An organisation can have 0, 1 or multiple employees (with each their own username and password) logging in on behalf of the organisation.<br>Every organisation gets 1 bill for their associated users.<br>The amount of users per organization can be restricted via 'roles & permissions'.<br>;When Archimedes CMS is deployed as a web-application service (like MailChimp, Shopify, Calendly etc) it can have multiple organizations/companies using Archimedes CMS<br>An organisation can have 0, 1 or multiple employees (with each their own username and password) logging in on behalf of the organisation.<br>Every organisation gets 1 bill for their associated users.<br>The amount of users per organization can be restricted via 'roles & permissions'.<br>;When Archimedes CMS is deployed as a web-application service (like MailChimp, Shopify, Calendly etc) it can have multiple organizations/companies using Archimedes CMS<br>An organisation can have 0, 1 or multiple employees (with each their own username and password) logging in on behalf of the organisation.<br>Every organisation gets 1 bill for their associated users.<br>The amount of users per organization can be restricted via 'roles & permissions'.<br>
